 variables = Location Load CX CY CL CD Chord
        0.02500   0.00000000   0.02019475   0.57744726   0.56901701   0.10036334   1.00000000
        0.12500   0.00000000   0.02043361   0.60394967   0.59522826   0.10428830   1.00000000
        0.25000   0.00000000   0.02100787   0.61214081   0.60325977   0.10599696   1.00000000
        0.42500   0.00000000   0.02152961   0.60906386   0.60014015   0.10608540   1.00000000
        0.50000   0.00000000   0.02017238   0.60018326   0.59153486   0.10350543   1.00000000
        0.62500   0.00000000   0.01901258   0.59043316   0.58204106   0.10099997   1.00000000
        0.75000   0.00000000   0.02079161   0.58567978   0.57708635   0.10210014   1.00000000
        0.85000   0.00000000   0.02139432   0.59011005   0.58138962   0.10331356   1.00000000
        1.00000   0.00000000   0.02040456   0.58218659   0.57368102   0.10123069   1.00000000
        1.12500   0.00000000   0.02062122   0.57279804   0.56435369   0.10013861   1.00000000
        1.25000   0.00000000   0.01978847   0.55928066   0.55108375   0.09743271   1.00000000
        1.37500   0.00000000   0.01992129   0.55143075   0.54329176   0.09647175   1.00000000
        1.50000   0.00000000   0.01877297   0.53729498   0.52945337   0.09336728   1.00000000
        1.65000   0.00000000   0.01853133   0.52549604   0.51780288   0.09148590   1.00000000
        1.75000   0.00000000   0.01759894   0.50629490   0.49891838   0.08789030   1.00000000
        1.87500   0.00000000   0.01723682   0.49216106   0.48497248   0.08556466   1.00000000
        2.00000   0.00000000   0.01606595   0.47569023   0.46882490   0.08211288   1.00000000
        2.12500   0.00000000   0.01340984   0.45288055   0.44660686   0.07630813   1.00000000
        2.25000   0.00000000   0.01258524   0.41641228   0.41060825   0.07041615   1.00000000
        2.37500   0.00000000   0.01860690   0.38077877   0.37448348   0.07141998   1.00000000
        2.47500   0.00000000   0.04136375   0.29367608   0.28506132   0.08183301   1.00000000
